run_id,model_alias,model_name,method_name,dataset_name,sample_count,accuracy,avg_response_length_tokens,avg_response_length_chars,avg_total_response_length_tokens,avg_total_response_length_chars,avg_api_call_count,avg_api_prompt_tokens,avg_api_completion_tokens,avg_api_total_tokens,avg_api_reasoning_tokens,avg_api_estimated_reasoning_tokens,avg_api_reasoning_content_chars,avg_score_i,joint_score,mean_sample_score,mean_efficiency_on_correct,correct_count,total_count,mean_length_factor_on_correct,mean_answer_factor_on_correct,mean_reflection_factor_on_correct,mean_count_factor_on_correct,mean_tail_factor_on_correct,source_file
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,30,0.6666666666666666,255.16666666666666,1016.4,4965.066666666667,2789.133333333333,2.0,1009.8666666666667,4965.066666666667,5974.933333333333,3943.1,1872.4,9902.933333333332,0.436305087063206,0.436305087063206,0.436305087063206,0.1361440764870225,20,30,0.0241110499654373,0.36787944117144233,0.9606530659712633,0.36787944117144233,1.0,DeepSeek-R1-Distill-Qwen-1.5B__aime2024__plan_solve__20260504_044629.jsonl
20260504_050950,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,tir,aime2024,30,0.7666666666666667,271.26666666666665,1075.3,3634.5,1075.3,1.3333333333333333,1074.5666666666666,3634.5,4709.066666666667,3205.266666666667,1531.6666666666667,8169.4,0.5278703735439588,0.5278703735439588,0.5278703735439588,0.22131643546943106,23,30,0.13912813874913718,0.3655761811962477,0.9225999681054067,0.36787944117144233,0.9937390902632113,DeepSeek-R1-Distill-Qwen-1.5B__aime2024__tir__20260504_050950.jsonl
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,gsm8k,50,0.98,105.28,397.78,838.32,872.68,2.0,471.86,838.32,1310.18,560.8,346.88,1854.92,0.8184469392902444,0.8184469392902444,0.8184469392902444,0.5878748451281742,49,50,0.9283787389548809,0.36787944117144233,1.0,0.36787944117144233,1.0,DeepSeek-R1-Distill-Qwen-1.5B__gsm8k__plan_solve__20260504_044629.jsonl
20260504_050950,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,tir,gsm8k,50,0.94,103.52,409.02,422.44,409.02,2.0,1055.26,422.44,1477.7,290.58,174.16,921.38,0.7729850262677072,0.7729850262677072,0.7729850262677072,0.5558112400736892,47,50,0.9824982183742995,0.3220319485374332,0.9916283119087794,0.36787944117144233,0.8753735938925631,DeepSeek-R1-Distill-Qwen-1.5B__gsm8k__tir__20260504_050950.jsonl
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,math500,50,0.94,194.26,765.48,2039.54,1618.34,2.0,610.86,2039.54,2650.4,1448.42,668.46,3662.76,0.728119203256997,0.728119203256997,0.728119203256997,0.43648724270477923,47,50,0.5217418746286036,0.36787944117144233,0.9750991663800226,0.36787944117144233,1.0,DeepSeek-R1-Distill-Qwen-1.5B__math500__plan_solve__20260504_044629.jsonl
20260504_050950,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,tir,math500,50,0.96,169.12,667.8,1193.54,667.8,1.64,1089.34,1193.54,2282.88,934.64,424.58,2341.3,0.7666821157199486,0.7666821157199486,0.7666821157199486,0.4965680096873661,48,50,0.7567239655304173,0.3417319188679695,0.9836054441546931,0.36787944117144233,0.9289236652632422,DeepSeek-R1-Distill-Qwen-1.5B__math500__tir__20260504_050950.jsonl
20260504_062018,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,plan_solve,aime2024,30,0.36666666666666664,790.9,3154.366666666667,1464.8666666666666,3663.6,2.0,529.6666666666666,1464.8666666666666,1994.5333333333333,0.0,0.0,0.0,0.2944789024584908,0.2944789024584908,0.2944789024584908,0.5078106985806189,11,30,0.7198102318984541,0.36787944117144233,0.8778470661891361,0.36787944117144233,1.0,Qwen2.5-Math-1.5B-Instruct__aime2024__plan_solve__20260504_062018.jsonl
20260504_063001,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,tir,aime2024,30,0.4,843.1666666666666,3345.266666666667,1243.1,3345.266666666667,2.6666666666666665,4343.533333333334,1243.1,5586.633333333333,0.0,0.0,0.0,0.3170796375300957,0.3170796375300957,0.3170796375300957,0.48174773456309805,12,30,0.8315661550523975,0.36787944117144233,0.7201530687919013,0.36787944117144233,1.0,Qwen2.5-Math-1.5B-Instruct__aime2024__tir__20260504_063001.jsonl
20260504_062018,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,plan_solve,gsm8k,50,0.96,177.62,694.2,305.26,990.84,2.0,363.86,305.26,669.12,0.0,0.0,0.0,0.8089077733296512,0.8089077733296512,0.8089077733296512,0.6065306597126334,48,50,1.0,0.36787944117144233,1.0,0.36787944117144233,1.0,Qwen2.5-Math-1.5B-Instruct__gsm8k__plan_solve__20260504_062018.jsonl
20260504_063001,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,tir,gsm8k,50,0.94,155.86,609.24,184.72,609.24,2.08,1112.12,184.72,1296.84,0.0,0.0,0.0,0.7920555280519502,0.7920555280519502,0.7920555280519502,0.6065306597126334,47,50,1.0,0.36787944117144233,1.0,0.36787944117144233,1.0,Qwen2.5-Math-1.5B-Instruct__gsm8k__tir__20260504_063001.jsonl
20260504_062018,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,plan_solve,math500,50,0.86,338.18,1345.08,692.26,1719.32,2.0,409.06,692.26,1101.32,0.0,0.0,0.0,0.7226336814241834,0.7226336814241834,0.7226336814241834,0.6006793064656494,43,50,0.9837993256179983,0.36787944117144233,0.9816991004517504,0.36787944117144233,1.0,Qwen2.5-Math-1.5B-Instruct__math500__plan_solve__20260504_062018.jsonl
20260504_063001,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,tir,math500,50,0.9,305.16,1218.44,465.78,1218.44,1.96,1550.6,465.78,2016.38,0.0,0.0,0.0,0.7546905148774444,0.7546905148774444,0.7546905148774444,0.5963625413262347,45,50,0.9810296073693981,0.36787944117144233,0.9708581257408119,0.36787944117144233,1.0,Qwen2.5-Math-1.5B-Instruct__math500__tir__20260504_063001.jsonl
20260504_044629,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,overall,130,0.8923076923076924,174.09230769230768,681.9615384615385,2252.653846153846,1601.7307692307693,2.0,649.4769230769231,2252.653846153846,2902.130769230769,1682.7230769230769,822.6076923076923,4407.476923076923,0.6955189210712173,0.6955189210712173,0.6955189210712173,0.44865214955297944,116,130,0.6077124768589851,0.36787944117144233,0.9831269149938476,0.36787944117144233,1.0,all
20260504_050950,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,tir,overall,130,0.9076923076923077,167.46153846153845,662.3076923076923,1460.2615384615385,662.3076923076923,1.7076923076923076,1072.823076923077,1460.2615384615385,2533.0846153846155,1210.9153846153847,583.7461538461539,3140.123076923077,0.7139959100438581,0.7139959100438581,0.7139959100438581,0.4665141590191007,118,130,0.7262721508498498,0.33853293096979314,0.9749100953013751,0.36787944117144233,0.9202279145901691,all
20260504_062018,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,plan_solve,overall,130,0.7846153846153846,380.9,1512.2692307692307,721.7076923076924,1887.8153846153846,2.0,419.5076923076923,721.7076923076924,1141.2153846153847,0.0,0.0,0.0,0.657011075472665,0.657011075472665,0.657011075472665,0.5934176424374131,102,130,0.9629537603182051,0.36787944117144233,0.9791115592892722,0.36787944117144233,1.0,all
20260504_063001,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,tir,overall,130,0.8,371.89230769230767,1474.9384615384615,537.0615384615385,1474.9384615384615,2.169230769230769,2026.4769230769232,537.0615384615385,2563.5384615384614,0.0,0.0,0.0,0.66807454824902,0.66807454824902,0.66807454824902,0.5877329632781876,104,130,0.9723569826178047,0.36787944117144233,0.9551005046523015,0.36787944117144233,1.0,all
